ci95_high,ci95_low,mean,method,method_family,metric,n,ppl_model_family,prompt_sentiment_class,std
0.19363395225464194,0.03448275862068965,0.10628909192127584,v1_base,v1_rad_scalar_reward,repeated_bigram_rate,6,v1_gpt2_large_full_sequence,all,0.09317233685181989
0.13976190476190478,0.02380952380952382,0.07331501831501831,v1_base,v1_rad_scalar_reward,repeated_trigram_rate,6,v1_gpt2_large_full_sequence,all,0.06822103395701667
0.8456790123456791,0.6160493827160495,0.7260582010582012,v1_base,v1_rad_scalar_reward,distinct_1,6,v1_gpt2_large_full_sequence,all,0.14080949292726405
0.9615384615384617,0.8063660477453581,0.8937109080787242,v1_base,v1_rad_scalar_reward,distinct_2,6,v1_gpt2_large_full_sequence,all,0.09317233685181989
0.9738461538461539,0.8602380952380951,0.9266849816849816,v1_base,v1_rad_scalar_reward,distinct_3,6,v1_gpt2_large_full_sequence,all,0.06822103395701667
32.0,32.0,32.0,v1_base,v1_rad_scalar_reward,generation_length,6,v1_gpt2_large_full_sequence,all,0.0
0.03822015605874185,0.02757364914032223,0.032667802661914415,v1_base,v1_rad_scalar_reward,latency_per_token,6,v1_gpt2_large_full_sequence,all,0.006621974490723488
1.2230449938797392,0.8823567724903114,1.0453696851812613,v1_base,v1_rad_scalar_reward,total_latency,6,v1_gpt2_large_full_sequence,all,0.21190318370315162
1.0,1.0,1.0,v1_fixed,v1_rad_scalar_reward,alignment_success,6,v1_gpt2_large_full_sequence,all,0.0
0.998855839172999,0.9973016281922659,0.9982630809148153,v1_fixed,v1_rad_scalar_reward,target_probability,6,v1_gpt2_large_full_sequence,all,0.0010718500855244676
18.60243034362793,6.609296639760335,12.62046750386556,v1_fixed,v1_rad_scalar_reward,perplexity,6,v1_gpt2_large_full_sequence,all,7.358063875942731
0.4969718847149023,-0.02506460055674117,0.2465338020771424,v1_fixed,v1_rad_scalar_reward,ppl_degradation,6,v1_gpt2_large_full_sequence,all,0.3261561706150838
0.592184265010352,0.5264069264069263,0.5603958843089277,v1_fixed,v1_rad_scalar_reward,coherence,6,v1_gpt2_large_full_sequence,all,0.04240892529301255
0.23933097553787205,0.0895775644022488,0.15886023076137692,v1_fixed,v1_rad_scalar_reward,repeated_unigram_rate,6,v1_gpt2_large_full_sequence,all,0.09442274702794132
0.0950328407224959,0.0,0.03550903119868637,v1_fixed,v1_rad_scalar_reward,repeated_bigram_rate,6,v1_gpt2_large_full_sequence,all,0.06520668161586649
0.05555555555555558,0.0,0.018518518518518528,v1_fixed,v1_rad_scalar_reward,repeated_trigram_rate,6,v1_gpt2_large_full_sequence,all,0.041408666249996125
0.9064698420020757,0.7509207761710543,0.8411397692386231,v1_fixed,v1_rad_scalar_reward,distinct_1,6,v1_gpt2_large_full_sequence,all,0.09442274702794132
1.0,0.8992200328407224,0.9644909688013136,v1_fixed,v1_rad_scalar_reward,distinct_2,6,v1_gpt2_large_full_sequence,all,0.06520668161586649
1.0,0.9444444444444443,0.9814814814814815,v1_fixed,v1_rad_scalar_reward,distinct_3,6,v1_gpt2_large_full_sequence,all,0.041408666249996125
32.0,32.0,32.0,v1_fixed,v1_rad_scalar_reward,generation_length,6,v1_gpt2_large_full_sequence,all,0.0
0.03609899182811205,0.02223854207113618,0.029539905536391114,v1_fixed,v1_rad_scalar_reward,latency_per_token,6,v1_gpt2_large_full_sequence,all,0.008968999821798624
1.1551677384995855,0.7116333462763578,0.9452769771645156,v1_fixed,v1_rad_scalar_reward,total_latency,6,v1_gpt2_large_full_sequence,all,0.28700799429755597
1.0,0.3333333333333333,0.6666666666666666,v1_heuristic,v1_rad_scalar_reward,alignment_success,6,v1_gpt2_large_full_sequence,all,0.4714045207910317
0.9983852605024973,0.33332872891332954,0.6666829502307033,v1_heuristic,v1_rad_scalar_reward,target_probability,6,v1_gpt2_large_full_sequence,all,0.46903183473911525
16.592612981796265,5.534862041473389,10.429407914479574,v1_heuristic,v1_rad_scalar_reward,perplexity,6,v1_gpt2_large_full_sequence,all,6.319475942574
0.2506155911710988,-0.11511298186983314,0.04779989637259636,v1_heuristic,v1_rad_scalar_reward,ppl_degradation,6,v1_gpt2_large_full_sequence,all,0.23029690443378129
0.6384570494864613,0.5400623885918003,0.5911536584330702,v1_heuristic,v1_rad_scalar_reward,coherence,6,v1_gpt2_large_full_sequence,all,0.06302381600363056
0.3327930052067983,0.1840501452570418,0.26041291828648155,v1_heuristic,v1_rad_scalar_reward,repeated_unigram_rate,6,v1_gpt2_large_full_sequence,all,0.0916006024662255
0.15903540903540903,0.013888888888888895,0.08211233211233211,v1_heuristic,v1_rad_scalar_reward,repeated_bigram_rate,6,v1_gpt2_large_full_sequence,all,0.09276496007540794
0.11851851851851851,0.0,0.05185185185185185,v1_heuristic,v1_rad_scalar_reward,repeated_trigram_rate,6,v1_gpt2_large_full_sequence,all,0.0776895443089001
0.8095395983327016,0.6665818749152082,0.7395870817135184,v1_heuristic,v1_rad_scalar_reward,distinct_1,6,v1_gpt2_large_full_sequence,all,0.0916006024662255
0.986111111111111,0.840964590964591,0.9178876678876678,v1_heuristic,v1_rad_scalar_reward,distinct_2,6,v1_gpt2_large_full_sequence,all,0.09276496007540794
1.0,0.8777777777777779,0.9481481481481482,v1_heuristic,v1_rad_scalar_reward,distinct_3,6,v1_gpt2_large_full_sequence,all,0.0776895443089001
32.0,32.0,32.0,v1_heuristic,v1_rad_scalar_reward,generation_length,6,v1_gpt2_large_full_sequence,all,0.0
0.03371534092730144,0.02199669016044936,0.027876969411105772,v1_heuristic,v1_rad_scalar_reward,latency_per_token,6,v1_gpt2_large_full_sequence,all,0.00698923940249465
1.078890909673646,0.7038940851343796,0.8920630211553847,v1_heuristic,v1_rad_scalar_reward,total_latency,6,v1_gpt2_large_full_sequence,all,0.2236556608798288
1.0,0.3333333333333333,0.6666666666666666,v1_router,v1_rad_scalar_reward,alignment_success,6,v1_gpt2_large_full_sequence,all,0.4714045207910317
0.9979628026485443,0.3331323756913965,0.6656991786827954,v1_router,v1_rad_scalar_reward,target_probability,6,v1_gpt2_large_full_sequence,all,0.4698027550022748
12.707813660303751,6.098470290501912,9.286024649937948,v1_router,v1_rad_scalar_reward,perplexity,6,v1_gpt2_large_full_sequence,all,4.182104870658184
0.06436758147339715,-0.11453897956883836,-0.020350220771929613,v1_router,v1_rad_scalar_reward,ppl_degradation,6,v1_gpt2_large_full_sequence,all,0.1272963045591494
0.6302194104186296,0.5392096461890512,0.5852880775616002,v1_router,v1_rad_scalar_reward,coherence,6,v1_gpt2_large_full_sequence,all,0.058513743296118116
0.34835112205801866,0.20549397920087575,0.27493842364532023,v1_router,v1_rad_scalar_reward,repeated_unigram_rate,6,v1_gpt2_large_full_sequence,all,0.09074399012156492
0.20502645502645503,0.03700828157349897,0.11571198527720267,v1_router,v1_rad_scalar_reward,repeated_bigram_rate,6,v1_gpt2_large_full_sequence,all,0.10434338271536925
0.1423001949317739,0.018518518518518528,0.07924726345778978,v1_router,v1_rad_scalar_reward,repeated_trigram_rate,6,v1_gpt2_large_full_sequence,all,0.08431575091306019
0.7895457033388068,0.6507936507936508,0.7250615763546797,v1_router,v1_rad_scalar_reward,distinct_1,6,v1_gpt2_large_full_sequence,all,0.09074399012156492
0.9629629629629629,0.794973544973545,0.8842880147227974,v1_router,v1_rad_scalar_reward,distinct_2,6,v1_gpt2_large_full_sequence,all,0.10434338271536925
0.9814814814814815,0.850577297945719,0.9207527365422102,v1_router,v1_rad_scalar_reward,distinct_3,6,v1_gpt2_large_full_sequence,all,0.08431575091306019
32.0,32.0,32.0,v1_router,v1_rad_scalar_reward,generation_length,6,v1_gpt2_large_full_sequence,all,0.0
0.037100884483152186,0.024151389738108264,0.03114728925417391,v1_router,v1_rad_scalar_reward,latency_per_token,6,v1_gpt2_large_full_sequence,all,0.007725492931825637
1.18722830346087,0.7728444716194645,0.9967132561335651,v1_router,v1_rad_scalar_reward,total_latency,6,v1_gpt2_large_full_sequence,all,0.2472157738184204
0.8333333333333334,0.16666666666666666,0.5,v2_base,v2_autoregressive_sentiment_guide,alignment_success,6,v2_gpt2_medium_conditional,all,0.5
0.8321219509622703,0.16777395162110528,0.500000661277833,v2_base,v2_autoregressive_sentiment_guide,target_probability,6,v2_gpt2_medium_conditional,all,0.49741980982415257
5.477223443089973,3.5637510922707496,4.440302654114025,v2_base,v2_autoregressive_sentiment_guide,perplexity,6,v2_gpt2_medium_conditional,all,1.303708422066226
0.0,0.0,0.0,v2_base,v2_autoregressive_sentiment_guide,ppl_degradation,6,v2_gpt2_medium_conditional,all,0.0
0.5991161616161617,0.5403371954842543,0.5703060011883542,v2_base,v2_autoregressive_sentiment_guide,coherence,6,v2_gpt2_medium_conditional,all,0.03954160756290502
0.3236331569664903,0.1894949494949495,0.25965047298380634,v2_base,v2_autoregressive_sentiment_guide,repeated_unigram_rate,6,v2_gpt2_medium_conditional,all,0.08561223534744265
0.11930959632109057,0.03799840006736558,0.0790797112636193,v2_base,v2_autoregressive_sentiment_guide,repeated_bigram_rate,6,v2_gpt2_medium_conditional,all,0.05256449901362316
0.054029304029304004,0.006410256410256406,0.030219780219780206,v2_base,v2_autoregressive_sentiment_guide,repeated_trigram_rate,6,v2_gpt2_medium_conditional,all,0.03215576898549346
0.8096969696969697,0.6751643418310085,0.7403495270161936,v2_base,v2_autoregressive_sentiment_guide,distinct_1,6,v2_gpt2_medium_conditional,all,0.08561223534744265
0.9589607922941257,0.8762812326030717,0.9209202887363807,v2_base,v2_autoregressive_sentiment_guide,distinct_2,6,v2_gpt2_medium_conditional,all,0.05256449901362316
0.9935897435897436,0.945970695970696,0.9697802197802199,v2_base,v2_autoregressive_sentiment_guide,distinct_3,6,v2_gpt2_medium_conditional,all,0.03215576898549346
32.0,32.0,32.0,v2_base,v2_autoregressive_sentiment_guide,generation_length,6,v2_gpt2_medium_conditional,all,0.0
