base_entropy,beta,between_sequence_beta_variance,near_beta_max,near_zero,position,prompt_id,prompt_sentiment_class,reward_range,seed,selected_token_reward
2.1033425331115723,10.715750694274902,5.352019257133643,0,0,0,9b5d4262eb2f50aa29ccee0a8495bf4b,negative,0.24962147325277328,1,0.33809560537338257
1.8891829252243042,14.772032737731934,5.352019257133643,0,0,1,9b5d4262eb2f50aa29ccee0a8495bf4b,negative,0.1606237292289734,1,0.2965347170829773
2.1033425331115723,10.715750694274902,5.352019257133643,0,0,0,9b5d4262eb2f50aa29ccee0a8495bf4b,negative,0.24962147325277328,2,0.33809560537338257
1.8891829252243042,14.772032737731934,5.352019257133643,0,0,1,9b5d4262eb2f50aa29ccee0a8495bf4b,negative,0.1606237292289734,2,0.2965347170829773
2.0646860599517822,9.540824890136719,5.352019257133643,0,0,0,bb0a31d07972a5c06a356ef6af2f0528,negative,0.07826109603047371,1,0.0731036588549614
2.4282796382904053,10.933632850646973,5.352019257133643,0,0,1,bb0a31d07972a5c06a356ef6af2f0528,negative,0.17154109757393599,1,0.07094742357730865
2.0646860599517822,9.540824890136719,5.352019257133643,0,0,0,bb0a31d07972a5c06a356ef6af2f0528,negative,0.07826109603047371,2,0.0731036588549614
2.4282796382904053,10.933632850646973,5.352019257133643,0,0,1,bb0a31d07972a5c06a356ef6af2f0528,negative,0.17154109757393599,2,0.07094742357730865
1.895742416381836,14.323240280151367,5.352019257133643,0,0,0,57ca66ec066c04c6ac0916574ca24881,negative,0.1841699630022049,1,0.2913833260536194
2.7583799362182617,12.040016174316406,5.352019257133643,0,0,1,57ca66ec066c04c6ac0916574ca24881,negative,0.1307513564825058,1,0.238201305270195
1.895742416381836,14.323240280151367,5.352019257133643,0,0,0,57ca66ec066c04c6ac0916574ca24881,negative,0.1841699630022049,2,0.2913833260536194
2.7583799362182617,12.040016174316406,5.352019257133643,0,0,1,57ca66ec066c04c6ac0916574ca24881,negative,0.1307513564825058,2,0.238201305270195
2.6191840171813965,7.0335164070129395,5.352019257133643,0,0,0,7c266a35ee45b993f843e159b2c9775e,negative,0.3123124837875366,1,0.5658778548240662
1.7451612949371338,8.283711433410645,5.352019257133643,0,0,1,7c266a35ee45b993f843e159b2c9775e,negative,0.24634265899658203,1,0.4519768953323364
2.6191840171813965,7.0335164070129395,5.352019257133643,0,0,0,7c266a35ee45b993f843e159b2c9775e,negative,0.3123124837875366,2,0.5658778548240662
1.7451612949371338,8.283711433410645,5.352019257133643,0,0,1,7c266a35ee45b993f843e159b2c9775e,negative,0.24634265899658203,2,0.4519768953323364
1.7415366172790527,13.845231056213379,5.352019257133643,0,0,0,5f61908ff69ae3251a491f3e6ebc0300,negative,0.31467655301094055,1,0.5795641541481018
2.136209726333618,6.159614086151123,5.352019257133643,0,0,1,5f61908ff69ae3251a491f3e6ebc0300,negative,0.2841005027294159,1,0.5906347632408142
1.7415366172790527,13.845231056213379,5.352019257133643,0,0,0,5f61908ff69ae3251a491f3e6ebc0300,negative,0.31467655301094055,2,0.5795641541481018
2.136209726333618,6.159614086151123,5.352019257133643,0,0,1,5f61908ff69ae3251a491f3e6ebc0300,negative,0.2841005027294159,2,0.5906347632408142
1.9297541379928589,9.162688255310059,5.352019257133643,0,0,0,9181271808762574ba839749173314e7,negative,0.10405774414539337,1,0.278708279132843
1.8325320482254028,6.584334850311279,5.352019257133643,0,0,1,9181271808762574ba839749173314e7,negative,0.14971274137496948,1,0.31219178438186646
1.9297541379928589,9.162688255310059,5.352019257133643,0,0,0,9181271808762574ba839749173314e7,negative,0.10405774414539337,2,0.278708279132843
1.8325320482254028,6.584334850311279,5.352019257133643,0,0,1,9181271808762574ba839749173314e7,negative,0.14971274137496948,2,0.31219178438186646
1.225726842880249,9.741399765014648,5.352019257133643,0,0,0,db0e1e990d04c6ca74a7f4962e5cd67a,negative,0.01854519546031952,1,0.0004260251298546791
2.0234384536743164,15.596997261047363,5.352019257133643,0,0,1,db0e1e990d04c6ca74a7f4962e5cd67a,negative,0.024802561849355698,1,0.0
1.225726842880249,9.741399765014648,5.352019257133643,0,0,0,db0e1e990d04c6ca74a7f4962e5cd67a,negative,0.01854519546031952,2,0.0004260251298546791
2.0234384536743164,15.596997261047363,5.352019257133643,0,0,1,db0e1e990d04c6ca74a7f4962e5cd67a,negative,0.024802561849355698,2,0.0
2.372249126434326,13.799358367919922,5.352019257133643,0,0,0,464dd19dad1a20eb82b7616e4f5f172e,negative,0.07600186299532652,1,0.053070273250341415
2.8374345302581787,10.821636199951172,5.352019257133643,0,0,1,464dd19dad1a20eb82b7616e4f5f172e,negative,0.05323909595608711,1,0.06863086670637131
2.372249126434326,13.799358367919922,5.352019257133643,0,0,0,464dd19dad1a20eb82b7616e4f5f172e,negative,0.07600186299532652,2,0.053070273250341415
2.8374345302581787,10.821636199951172,5.352019257133643,0,0,1,464dd19dad1a20eb82b7616e4f5f172e,negative,0.05323909595608711,2,0.06863086670637131
2.8449761867523193,9.391545295715332,5.352019257133643,0,0,0,a65483eafb7a5bde7a76a21a00565d48,negative,0.11735696718096733,1,0.1131359115242958
1.1476496458053589,8.438597679138184,5.352019257133643,0,0,1,a65483eafb7a5bde7a76a21a00565d48,negative,0.20187614113092422,1,0.13815392553806305
2.8449761867523193,9.391545295715332,5.352019257133643,0,0,0,a65483eafb7a5bde7a76a21a00565d48,negative,0.11735696718096733,2,0.1131359115242958
1.1476496458053589,8.438597679138184,5.352019257133643,0,0,1,a65483eafb7a5bde7a76a21a00565d48,negative,0.20187614113092422,2,0.13815392553806305
1.9822628498077393,8.02110481262207,5.352019257133643,0,0,0,5faf9d707b49367007f5dccd523f52ff,negative,0.09750599041581154,1,0.10364951938390732
0.3898436427116394,8.982827186584473,5.352019257133643,0,0,1,5faf9d707b49367007f5dccd523f52ff,negative,0.08668049797415733,1,0.08569072932004929
1.9822628498077393,8.02110481262207,5.352019257133643,0,0,0,5faf9d707b49367007f5dccd523f52ff,negative,0.09750599041581154,2,0.10364951938390732
0.3898436427116394,8.982827186584473,5.352019257133643,0,0,1,5faf9d707b49367007f5dccd523f52ff,negative,0.08668049797415733,2,0.08569072932004929
1.270003080368042,1.8997774124145508,5.352019257133643,0,0,0,6dcf07ba45ff18da917ea6f3d5ff0948,neutral,0.43691301345825195,1,0.6647021174430847
2.3392274379730225,9.002305030822754,5.352019257133643,0,0,1,6dcf07ba45ff18da917ea6f3d5ff0948,neutral,0.347778856754303,1,0.7088309526443481
1.270003080368042,1.8997774124145508,5.352019257133643,0,0,0,6dcf07ba45ff18da917ea6f3d5ff0948,neutral,0.43691301345825195,2,0.6647021174430847
2.3392274379730225,9.002305030822754,5.352019257133643,0,0,1,6dcf07ba45ff18da917ea6f3d5ff0948,neutral,0.347778856754303,2,0.7088309526443481
0.9889664649963379,8.931462287902832,5.352019257133643,0,0,0,5b2291cd1fafe8e93f36c2d7653e330f,neutral,0.5269815325737,1,0.7224724292755127
