model,oracle_weight,predicted_weight,count
classifier_logistic,0.0,0.0,6
classifier_logistic,0.0,0.009900990099009901,0
classifier_logistic,0.0,0.047619047619047616,0
classifier_logistic,0.0,0.09090909090909091,2
classifier_logistic,0.0,0.3333333333333333,1
classifier_logistic,0.0,0.5,0
classifier_logistic,0.0,0.6666666666666666,4
classifier_logistic,0.0,1.0,1
classifier_logistic,0.009900990099009901,0.0,0
classifier_logistic,0.009900990099009901,0.009900990099009901,0
classifier_logistic,0.009900990099009901,0.047619047619047616,0
classifier_logistic,0.009900990099009901,0.09090909090909091,0
classifier_logistic,0.009900990099009901,0.3333333333333333,0
classifier_logistic,0.009900990099009901,0.5,0
classifier_logistic,0.009900990099009901,0.6666666666666666,0
classifier_logistic,0.009900990099009901,1.0,0
classifier_logistic,0.047619047619047616,0.0,0
classifier_logistic,0.047619047619047616,0.009900990099009901,0
classifier_logistic,0.047619047619047616,0.047619047619047616,0
classifier_logistic,0.047619047619047616,0.09090909090909091,0
classifier_logistic,0.047619047619047616,0.3333333333333333,0
classifier_logistic,0.047619047619047616,0.5,1
classifier_logistic,0.047619047619047616,0.6666666666666666,0
classifier_logistic,0.047619047619047616,1.0,0
classifier_logistic,0.09090909090909091,0.0,0
classifier_logistic,0.09090909090909091,0.009900990099009901,0
classifier_logistic,0.09090909090909091,0.047619047619047616,2
classifier_logistic,0.09090909090909091,0.09090909090909091,1
classifier_logistic,0.09090909090909091,0.3333333333333333,0
classifier_logistic,0.09090909090909091,0.5,0
classifier_logistic,0.09090909090909091,0.6666666666666666,1
classifier_logistic,0.09090909090909091,1.0,1
classifier_logistic,0.3333333333333333,0.0,5
classifier_logistic,0.3333333333333333,0.009900990099009901,0
classifier_logistic,0.3333333333333333,0.047619047619047616,2
classifier_logistic,0.3333333333333333,0.09090909090909091,1
classifier_logistic,0.3333333333333333,0.3333333333333333,0
classifier_logistic,0.3333333333333333,0.5,0
classifier_logistic,0.3333333333333333,0.6666666666666666,0
classifier_logistic,0.3333333333333333,1.0,2
classifier_logistic,0.5,0.0,4
classifier_logistic,0.5,0.009900990099009901,0
classifier_logistic,0.5,0.047619047619047616,3
classifier_logistic,0.5,0.09090909090909091,0
classifier_logistic,0.5,0.3333333333333333,0
classifier_logistic,0.5,0.5,0
classifier_logistic,0.5,0.6666666666666666,1
classifier_logistic,0.5,1.0,0
classifier_logistic,0.6666666666666666,0.0,2
classifier_logistic,0.6666666666666666,0.009900990099009901,0
classifier_logistic,0.6666666666666666,0.047619047619047616,1
classifier_logistic,0.6666666666666666,0.09090909090909091,4
classifier_logistic,0.6666666666666666,0.3333333333333333,0
classifier_logistic,0.6666666666666666,0.5,0
classifier_logistic,0.6666666666666666,0.6666666666666666,1
classifier_logistic,0.6666666666666666,1.0,2
classifier_logistic,1.0,0.0,4
classifier_logistic,1.0,0.009900990099009901,0
classifier_logistic,1.0,0.047619047619047616,0
classifier_logistic,1.0,0.09090909090909091,1
classifier_logistic,1.0,0.3333333333333333,0
classifier_logistic,1.0,0.5,1
classifier_logistic,1.0,0.6666666666666666,0
classifier_logistic,1.0,1.0,6
utility_ridge,0.0,0.0,1
utility_ridge,0.0,0.009900990099009901,0
utility_ridge,0.0,0.047619047619047616,0
utility_ridge,0.0,0.09090909090909091,1
utility_ridge,0.0,0.3333333333333333,2
utility_ridge,0.0,0.5,0
utility_ridge,0.0,0.6666666666666666,1
utility_ridge,0.0,1.0,9
utility_ridge,0.009900990099009901,0.0,0
utility_ridge,0.009900990099009901,0.009900990099009901,0
utility_ridge,0.009900990099009901,0.047619047619047616,0
utility_ridge,0.009900990099009901,0.09090909090909091,0
utility_ridge,0.009900990099009901,0.3333333333333333,0
utility_ridge,0.009900990099009901,0.5,0
utility_ridge,0.009900990099009901,0.6666666666666666,0
utility_ridge,0.009900990099009901,1.0,0
utility_ridge,0.047619047619047616,0.0,0
utility_ridge,0.047619047619047616,0.009900990099009901,0
utility_ridge,0.047619047619047616,0.047619047619047616,0
utility_ridge,0.047619047619047616,0.09090909090909091,0
utility_ridge,0.047619047619047616,0.3333333333333333,0
utility_ridge,0.047619047619047616,0.5,0
utility_ridge,0.047619047619047616,0.6666666666666666,0
utility_ridge,0.047619047619047616,1.0,1
utility_ridge,0.09090909090909091,0.0,0
utility_ridge,0.09090909090909091,0.009900990099009901,0
utility_ridge,0.09090909090909091,0.047619047619047616,0
utility_ridge,0.09090909090909091,0.09090909090909091,0
utility_ridge,0.09090909090909091,0.3333333333333333,0
utility_ridge,0.09090909090909091,0.5,0
utility_ridge,0.09090909090909091,0.6666666666666666,1
utility_ridge,0.09090909090909091,1.0,4
utility_ridge,0.3333333333333333,0.0,3
utility_ridge,0.3333333333333333,0.009900990099009901,0
utility_ridge,0.3333333333333333,0.047619047619047616,1
utility_ridge,0.3333333333333333,0.09090909090909091,0
utility_ridge,0.3333333333333333,0.3333333333333333,0
utility_ridge,0.3333333333333333,0.5,1
utility_ridge,0.3333333333333333,0.6666666666666666,1
utility_ridge,0.3333333333333333,1.0,4
utility_ridge,0.5,0.0,4
utility_ridge,0.5,0.009900990099009901,0
utility_ridge,0.5,0.047619047619047616,0
utility_ridge,0.5,0.09090909090909091,2
utility_ridge,0.5,0.3333333333333333,0
utility_ridge,0.5,0.5,2
utility_ridge,0.5,0.6666666666666666,0
utility_ridge,0.5,1.0,0
utility_ridge,0.6666666666666666,0.0,3
utility_ridge,0.6666666666666666,0.009900990099009901,0
utility_ridge,0.6666666666666666,0.047619047619047616,0
utility_ridge,0.6666666666666666,0.09090909090909091,0
utility_ridge,0.6666666666666666,0.3333333333333333,0
utility_ridge,0.6666666666666666,0.5,1
utility_ridge,0.6666666666666666,0.6666666666666666,0
utility_ridge,0.6666666666666666,1.0,6
utility_ridge,1.0,0.0,2
utility_ridge,1.0,0.009900990099009901,0
utility_ridge,1.0,0.047619047619047616,0
utility_ridge,1.0,0.09090909090909091,0
utility_ridge,1.0,0.3333333333333333,0
utility_ridge,1.0,0.5,0
utility_ridge,1.0,0.6666666666666666,1
utility_ridge,1.0,1.0,9
