subset,score_family,horizon,states,informative_pair_count,pairwise_accuracy,defined_spearman_states,undefined_spearman_fraction,mean_defined_spearman,top1_oracle_set_accuracy,top2_oracle_set_coverage,policy_utility,fixed_w1_utility,oracle_utility,gain_over_fixed,oracle_gap_capture,intervention_rate,beneficial_decision_fraction,harmful_decision_fraction,selected_weight_distribution
actionable,parm,1,64,296,0.4391891891891892,64,0.0,-0.125,0.4375,0.5,0.60178208149443,0.60178208149443,0.6578976863223484,0.0,0.0,0.0,,,"{""1.0"": 64}"
actionable,parm,2,64,296,0.49324324324324326,64,0.0,-0.026041666666666657,0.484375,0.484375,0.6003978939670823,0.60178208149443,0.6578976863223484,-0.0013841875273477022,-0.024666713146768913,0.1875,0.6666666666666666,0.3333333333333333,"{""0.0"": 11, ""0.5"": 1, ""1.0"": 52}"
actionable,parm,4,64,296,0.4797297297297297,64,0.0,-0.05729166666666666,0.46875,0.484375,0.6028638169238791,0.60178208149443,0.6578976863223484,0.0010817354294491155,0.019276909386726174,0.234375,0.6,0.4,"{""0.0"": 14, ""0.5"": 1, ""1.0"": 49}"
actionable,parm,8,64,296,0.43243243243243246,64,0.0,-0.15104166666666666,0.421875,0.46875,0.5992376914720978,0.60178208149443,0.6578976863223484,-0.002544390022332199,-0.045341933498439776,0.1875,0.5,0.5,"{""0.0"": 11, ""0.5"": 1, ""1.0"": 52}"
actionable,parm,16,64,296,0.47297297297297297,64,0.0,-0.0625,0.46875,0.484375,0.6027825914694636,0.60178208149443,0.6578976863223484,0.0010005099750335367,0.01782944295266276,0.21875,0.5714285714285714,0.42857142857142855,"{""0.0"": 14, ""1.0"": 50}"
actionable,parm,32,64,296,0.49324324324324326,64,0.0,-0.026041666666666657,0.484375,0.515625,0.5920625853566792,0.60178208149443,0.6578976863223484,-0.009719496137750805,-0.1732048717563713,0.34375,0.5909090909090909,0.4090909090909091,"{""0.0"": 21, ""0.5"": 1, ""1.0"": 42}"
actionable,base,1,64,296,0.5608108108108109,64,0.0,0.125,0.5625,0.8125,0.6199738801230541,0.60178208149443,0.6578976863223484,0.01819179862862408,0.32418430995104225,1.0,0.5625,0.4375,"{""0.0"": 64}"
actionable,base,2,64,296,0.527027027027027,64,0.0,0.0798611111111111,0.53125,0.640625,0.6201037137457672,0.60178208149443,0.6578976863223484,0.018321632251337205,0.32649799120087053,0.546875,0.6,0.4,"{""0.0"": 34, ""0.5"": 1, ""1.0"": 29}"
actionable,base,4,64,296,0.5202702702702703,64,0.0,0.048611111111111105,0.515625,0.5625,0.6049336521108327,0.60178208149443,0.6578976863223484,0.003151570616402699,0.05616210724391492,0.40625,0.6153846153846154,0.38461538461538464,"{""0.0"": 25, ""0.5"": 1, ""1.0"": 38}"
actionable,base,8,64,296,0.527027027027027,64,0.0,0.048611111111111105,0.515625,0.59375,0.6040330099544103,0.60178208149443,0.6578976863223484,0.002250928459980317,0.04011234427362792,0.4375,0.6071428571428571,0.39285714285714285,"{""0.0"": 27, ""0.5"": 1, ""1.0"": 36}"
actionable,base,16,64,296,0.4864864864864865,64,0.0,-0.03125,0.484375,0.578125,0.5910260072329024,0.60178208149443,0.6578976863223484,-0.010756074261527582,-0.1916770619244271,0.453125,0.5517241379310345,0.4482758620689655,"{""0.0"": 29, ""1.0"": 35}"
actionable,base,32,64,296,0.49324324324324326,64,0.0,0.0,0.5,0.609375,0.5953923621673175,0.60178208149443,0.6578976863223484,-0.00638971932711252,-0.11386706686503612,0.53125,0.5588235294117647,0.4411764705882353,"{""0.0"": 34, ""1.0"": 30}"
actionable,ratio,1,64,296,0.4391891891891892,64,0.0,-0.125,0.4375,0.5,0.60178208149443,0.60178208149443,0.6578976863223484,0.0,0.0,0.0,,,"{""1.0"": 64}"
actionable,ratio,2,64,296,0.43243243243243246,64,0.0,-0.15625,0.421875,0.484375,0.6024397351123447,0.60178208149443,0.6578976863223484,0.0006576536179146997,0.011719620949135834,0.046875,0.3333333333333333,0.6666666666666666,"{""0.0"": 3, ""1.0"": 61}"
actionable,ratio,4,64,296,0.41216216216216217,64,0.0,-0.1875,0.40625,0.484375,0.6023973914019187,0.60178208149443,0.6578976863223484,0.0006153099074887036,0.010965040996628053,0.0625,0.25,0.75,"{""0.0"": 4, ""1.0"": 60}"
actionable,ratio,8,64,296,0.43243243243243246,64,0.0,-0.15104166666666666,0.421875,0.5,0.6018952343898227,0.60178208149443,0.6578976863223484,0.00011315289539270967,0.002016424767044736,0.0625,0.5,0.5,"{""0.0"": 3, ""0.5"": 1, ""1.0"": 60}"
actionable,ratio,16,64,296,0.4797297297297297,64,0.0,-0.0625,0.46875,0.515625,0.6029179672456717,0.60178208149443,0.6578976863223484,0.0011358857512416831,0.02024188734532829,0.0625,0.75,0.25,"{""0.0"": 4, ""1.0"": 60}"
actionable,ratio,32,64,296,0.46621621621621623,64,0.0,-0.08854166666666666,0.453125,0.5,0.601758919835251,0.60178208149443,0.6578976863223484,-2.3161659179038452e-05,-0.0004127489893420019,0.0625,0.75,0.25,"{""0.0"": 3, ""0.5"": 1, ""1.0"": 60}"
all,parm,1,250,296,0.4391891891891892,64,0.744,-0.125,0.856,0.872,0.6068836809138523,0.6068836809138523,0.6212492757497994,0.0,0.0,0.0,,,"{""1.0"": 250}"
all,parm,2,250,296,0.49324324324324326,64,0.744,-0.026041666666666657,0.868,0.868,0.6065293289068512,0.6068836809138523,0.6212492757497994,-0.0003543520070010686,-0.024666713146772812,0.048,0.6666666666666666,0.3333333333333333,"{""0.0"": 11, ""0.5"": 1, ""1.0"": 238}"
all,parm,4,250,296,0.4797297297297297,64,0.744,-0.05729166666666666,0.864,0.868,0.6071606051837912,0.6068836809138523,0.6212492757497994,0.0002769242699389718,0.019276909386726004,0.06,0.6,0.4,"{""0.0"": 14, ""0.5"": 1, ""1.0"": 235}"
all,parm,8,250,296,0.43243243243243246,64,0.744,-0.15104166666666666,0.852,0.864,0.6062323170681352,0.6068836809138523,0.6212492757497994,-0.0006513638457170678,-0.0453419334984414,0.048,0.5,0.5,"{""0.0"": 11, ""0.5"": 1, ""1.0"": 238}"
all,parm,16,250,296,0.47297297297297297,64,0.744,-0.0625,0.864,0.868,0.6071398114674609,0.6068836809138523,0.6212492757497994,0.00025613055360862447,0.017829442952665437,0.056,0.5714285714285714,0.42857142857142855,"{""0.0"": 14, ""1.0"": 236}"
all,parm,32,250,296,0.49324324324324326,64,0.744,-0.026041666666666657,0.868,0.876,0.6043954899025881,0.6068836809138523,0.6212492757497994,-0.0024881910112641847,-0.17320487175636942,0.088,0.5909090909090909,0.4090909090909091,"{""0.0"": 21, ""0.5"": 1, ""1.0"": 228}"
all,base,1,250,296,0.5608108108108109,64,0.744,0.125,0.888,0.952,0.6115407813627801,0.6068836809138523,0.6212492757497994,0.0046571004489278645,0.32418430995104847,0.256,0.5625,0.4375,"{""0.0"": 64, ""1.0"": 186}"
all,base,2,250,296,0.527027027027027,64,0.744,0.0798611111111111,0.88,0.908,0.6115740187701946,0.6068836809138523,0.6212492757497994,0.004690337856342319,0.32649799120086936,0.14,0.6,0.4,"{""0.0"": 34, ""0.5"": 1, ""1.0"": 215}"
all,base,4,250,296,0.5202702702702703,64,0.744,0.048611111111111105,0.876,0.888,0.6076904829916514,0.6068836809138523,0.6212492757497994,0.0008068020777991514,0.05616210724391899,0.104,0.6153846153846154,0.38461538461538464,"{""0.0"": 25, ""0.5"": 1, ""1.0"": 224}"
all,base,8,250,296,0.527027027027027,64,0.744,0.048611111111111105,0.876,0.896,0.6074599185996072,0.6068836809138523,0.6212492757497994,0.0005762376857549878,0.040112344273629676,0.112,0.6071428571428571,0.39285714285714285,"{""0.0"": 27, ""0.5"": 1, ""1.0"": 222}"
all,base,16,250,296,0.4864864864864865,64,0.744,-0.03125,0.868,0.892,0.6041301259029013,0.6068836809138523,0.6212492757497994,-0.002753555010950981,-0.19167706192442108,0.116,0.5517241379310345,0.4482758620689655,"{""0.0"": 29, ""1.0"": 221}"
all,base,32,250,296,0.49324324324324326,64,0.744,0.0,0.872,0.9,0.6052479127661116,0.6068836809138523,0.6212492757497994,-0.0016357681477406905,-0.11386706686502787,0.136,0.5588235294117647,0.4411764705882353,"{""0.0"": 34, ""1.0"": 216}"
all,ratio,1,250,296,0.4391891891891892,64,0.744,-0.125,0.856,0.872,0.6068836809138523,0.6068836809138523,0.6212492757497994,0.0,0.0,0.0,,,"{""1.0"": 250}"
all,ratio,2,250,296,0.43243243243243246,64,0.744,-0.15625,0.852,0.868,0.6070520402400384,0.6068836809138523,0.6212492757497994,0.00016835932618619598,0.011719620949138095,0.012,0.3333333333333333,0.6666666666666666,"{""0.0"": 3, ""1.0"": 247}"
all,ratio,4,250,296,0.41216216216216217,64,0.744,-0.1875,0.848,0.868,0.6070412002501694,0.6068836809138523,0.6212492757497994,0.00015751933631713566,0.010965040996629944,0.016,0.25,0.75,"{""0.0"": 4, ""1.0"": 246}"
all,ratio,8,250,296,0.43243243243243246,64,0.744,-0.15104166666666666,0.852,0.872,0.6069126480550728,0.6068836809138523,0.6212492757497994,2.8967141220581638e-05,0.0020164247670480698,0.016,0.5,0.5,"{""0.0"": 3, ""0.5"": 1, ""1.0"": 246}"
all,ratio,16,250,296,0.4797297297297297,64,0.744,-0.0625,0.864,0.876,0.6071744676661701,0.6068836809138523,0.6212492757497994,0.000290786752317862,0.020241887345327624,0.016,0.75,0.25,"{""0.0"": 4, ""1.0"": 246}"
all,ratio,32,250,296,0.46621621621621623,64,0.744,-0.08854166666666666,0.86,0.872,0.6068777515291025,0.6068836809138523,0.6212492757497994,-5.92938474974769e-06,-0.0004127489893360037,0.016,0.75,0.25,"{""0.0"": 3, ""0.5"": 1, ""1.0"": 246}"
