rollout_id,state_id,case_id,sample_id,alpha_helpfulness,alpha_harmlessness,weight,is_actionable,horizon,effective_horizon,parm_score,base_score,ratio_score,mip,branch_key
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,1,1,-2.8931808471679688,-3.5523481369018555,0.6591672897338867,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,2,2,-1.8381657600402832,-2.1946388483047485,0.35647308826446533,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,4,4,-1.2788566052913666,-1.543193593621254,0.2643369883298874,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,8,8,-0.8721763945650309,-1.0625630440190434,0.1903866494540125,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,16,16,-0.7714934043033281,-0.7852881526378042,0.013794748334476026,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w0.75,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,0.75,True,32,32,-0.9868366226060061,-1.0464591919495092,0.05962256934350307,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,1,1,-2.8931808471679688,-3.5523481369018555,0.6591672897338867,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,2,2,-1.8381657600402832,-2.1946388483047485,0.35647308826446533,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,4,4,-1.2788566052913666,-1.543193593621254,0.2643369883298874,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,8,8,-0.8721763945650309,-1.0625630440190434,0.1903866494540125,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,16,16,-0.7714934043033281,-0.7852881526378042,0.013794748334476026,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s00_w1.00,f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,1.0,True,32,32,-0.9868366226060061,-1.0464591919495092,0.05962256934350307,0.5466586003500206,91948917a9d52002a3af34cb31916048f706b6ffe82f7f6c6fab491e9e9e17cf
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,1,1,-0.00011955977242905647,-1.1920858014491387e-05,-0.00010763891441456508,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,2,2,-0.24170906484505394,-0.3501337468269412,0.10842468198188726,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,4,4,-1.2946817111987912,-1.4031918644727739,0.10851015327398272,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,8,8,-1.1642088371390855,-1.247946327332329,0.0837374901932435,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,16,16,-1.2021798409086841,-1.3076302312612142,0.10545039035253012,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.00,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.0,False,32,32,-0.7701816156609311,-0.8559858457898031,0.08580423012887195,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,1,1,-0.00011955977242905647,-1.1920858014491387e-05,-0.00010763891441456508,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,2,2,-0.24170906484505394,-0.3501337468269412,0.10842468198188726,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,4,4,-1.2946817111987912,-1.4031918644727739,0.10851015327398272,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,8,8,-1.1642088371390855,-1.247946327332329,0.0837374901932435,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,16,16,-1.2021798409086841,-1.3076302312612142,0.10545039035253012,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.25,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.25,False,32,32,-0.7701816156609311,-0.8559858457898031,0.08580423012887195,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.50,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.5,False,1,1,-0.00011955977242905647,-1.1920858014491387e-05,-0.00010763891441456508,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
f60_a0_p00_s01_w0.50,f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,0.5,False,2,2,-0.24170906484505394,-0.3501337468269412,0.10842468198188726,0.3639511267636065,1b815aa85ebc2e3d2c0d0a425627140e7bf414cec845ad925fada07e5cf10c37
