source_method,source_lambda,weight,n,mean_mip,mean_pcs,mean_candidate_regret,oracle_gap_capture,is_best_global
base,0.0,0.0,60,0.5652921342430655,0.7911694938212104,0.1541981034032034,-1.1235484647202096,False
normalized_0.01,0.01,0.009900990099009901,60,0.5652921342430655,0.7911694938212104,0.1541981034032034,-1.1235484647202096,False
normalized_0.05,0.05,0.047619047619047616,60,0.5597465234884879,0.7871630014233555,0.15974371415778094,-1.1999201771077856,False
normalized_0.1,0.1,0.09090909090909091,60,0.5722480944432502,0.7913995964933257,0.14724214320301857,-1.0277540400304808,False
normalized_0.5,0.5,0.3333333333333333,60,0.6030166290208067,0.8277834071412898,0.11647360862546212,-0.6040233136348967,False
normalized_1,1.0,0.5,60,0.615880187959415,0.8347931647789589,0.10361004968685378,-0.42687203724408584,False
normalized_2,2.0,0.6666666666666666,60,0.6384427257034828,0.8512813246426066,0.08104751194278588,-0.11615069029390256,False
normalized_guide_only,,1.0,60,0.6468768238415031,0.8554322042059949,0.07261341380476553,0.0,True
