alpha_helpfulness,alpha_harmlessness,source_method,source_lambda,weight,n,mean_mip,mean_pcs,mean_candidate_regret
1.0,0.0,normalized_guide_only,,1.0,12,0.6194754508494841,0.7067386693572769,0.039186566882008535
0.75,0.25,normalized_guide_only,,1.0,12,0.6043045287226951,0.8800731997346222,0.059155033464187386
0.5,0.5,normalized_0.5,0.5,0.3333333333333333,12,0.6129266332955569,0.9847593635396615,0.07117692592321918
0.25,0.75,normalized_guide_only,,1.0,12,0.6882172046944013,0.9241178508100276,0.0722328211208051
0.0,1.0,normalized_guide_only,,1.0,12,0.7440136420145945,0.7818696080216633,0.08676238126439172
