state_id,weight,top1_token_id_audit_only,top1_probability,entropy,top1_top2_margin,top1_differs_from_w1,w1_top_token_rank,w1_top_token_probability_change,top1_logprob_margin_change_vs_w1
f60_a0_p00_s00,0.0,13,0.47410011291503906,3.3632869720458984,0.4179175794124603,1.0,3,-0.0263809971511364,2.0
f60_a0_p00_s00,0.25,13,0.19572210311889648,4.758688926696777,0.14613905549049377,1.0,1,-0.0054920874536037445,1.240234375
f60_a0_p00_s00,0.5,2266,0.05748886615037918,5.220473766326904,0.0032716989517211914,0.0,0,0.0024135038256645203,-0.07421875
f60_a0_p00_s00,0.75,2266,0.057816118001937866,5.295495510101318,0.009884875267744064,0.0,0,0.0027401410043239594,0.0546875
f60_a0_p00_s00,1.0,2266,0.05507626757025719,5.296962738037109,0.006849873811006546,0.0,0,7.82310962677002e-08,0.0
f60_a0_p00_s01,0.0,1691,0.9999879598617554,0.00018095372070092708,0.999982476234436,0.0,0,0.00010764598846435547,2.7109375
f60_a0_p00_s01,0.25,1691,0.9999815225601196,0.0002626192581374198,0.9999707341194153,0.0,0,0.0001010894775390625,2.0332021713256836
f60_a0_p00_s01,0.5,1691,0.9999668598175049,0.00044122192775830626,0.9999456405639648,0.0,0,8.654594421386719e-05,1.3554677963256836
f60_a0_p00_s01,0.75,1691,0.999937891960144,0.0007798773585818708,0.9998961687088013,0.0,0,5.745887756347656e-05,0.677734375
f60_a0_p00_s01,1.0,1691,0.999880313873291,0.0014108530012890697,0.9997981190681458,0.0,0,1.7881393432617188e-07,0.0
f60_a0_p00_s02,0.0,29871,0.3913244903087616,1.71494722366333,0.05133587121963501,1.0,1,-0.17879608273506165,-0.84375
f60_a0_p00_s02,0.25,777,0.38746246695518494,1.7154591083526611,0.05082923173904419,0.0,0,-0.13133004307746887,-0.84375
f60_a0_p00_s02,0.5,777,0.4336203634738922,1.7090895175933838,0.14924517273902893,0.0,0,-0.08516845107078552,-0.5625000596046448
f60_a0_p00_s02,0.75,777,0.47766610980033875,1.6905573606491089,0.24120423197746277,0.0,0,-0.04112052917480469,-0.28125
f60_a0_p00_s02,1.0,777,0.518805742263794,1.6611149311065674,0.3249422013759613,0.0,0,1.0132789611816406e-05,0.0
f60_a0_p00_s03,0.0,29901,0.39562496542930603,2.0420467853546143,0.18714524805545807,0.0,0,-0.12676462531089783,-0.359375
f60_a0_p00_s03,0.25,29901,0.43156880140304565,1.949460744857788,0.23087066411972046,0.0,0,-0.09080719947814941,-0.234375
f60_a0_p00_s03,0.5,29901,0.4647357761859894,1.8748087882995605,0.26485538482666016,0.0,0,-0.05763927102088928,-0.15625005960464478
f60_a0_p00_s03,0.75,29901,0.49508923292160034,1.8133289813995361,0.2981563210487366,0.0,0,-0.027282655239105225,-0.078125
f60_a0_p00_s03,1.0,29901,0.5223990082740784,1.7643508911132812,0.3302191495895386,0.0,0,2.962350845336914e-05,0.0
f60_a0_p00_s04,0.0,12818,0.9995453953742981,0.004810679703950882,0.999254047870636,0.0,0,-8.046627044677734e-05,-0.9609375
f60_a0_p00_s04,0.25,12818,0.9996250867843628,0.004081327468156815,0.9993959665298462,0.0,0,-8.344650268554688e-07,-0.720703125
f60_a0_p00_s04,0.5,12818,0.9996604919433594,0.003821810707449913,0.9994803071022034,0.0,0,3.463029861450195e-05,-0.4804697036743164
f60_a0_p00_s04,0.75,12818,0.9996620416641235,0.003913991153240204,0.9995203018188477,0.0,0,3.629922866821289e-05,-0.2402353286743164
f60_a0_p00_s04,1.0,12818,0.9996259212493896,0.0044060661457479,0.9995144605636597,0.0,0,0.0,0.0
