feature_family,states,actionable_states,advantage_mae,informative_pair_count,pairwise_accuracy,pairwise_logistic_accuracy,mean_defined_spearman,defined_spearman_states,undefined_spearman_fraction,oracle_set_accuracy,policy_mip,fixed_w1_mip,gain_over_fixed,oracle_mip,oracle_gap_capture,intervention_rate,beneficial_intervention_rate,harmful_intervention_rate,selected_weight_distribution,hyperparameters_selected_on_training_prompts_only
scalar,250,64,0.03158175548473786,296,0.42905405405405406,0.46283783783783783,-0.0938856569191557,64,0.0,0.84,0.6072547222487719,0.6068836809138523,0.00037104133491960845,0.6212492757497994,0.025828469976833062,0.088,0.4090909090909091,0.5909090909090909,"{""0.0"": 22, ""1.0"": 228}",True
logit_k16,250,64,0.0568613003435031,296,0.44932432432432434,0.5033783783783784,-0.07412099705579585,64,0.0,0.86,0.6065886344615975,0.6068836809138523,-0.0002950464522547547,0.6212492757497994,-0.020538408302902843,0.088,0.36363636363636365,0.2727272727272727,"{""0.0"": 13, ""0.75"": 9, ""1.0"": 228}",True
logit_k32,250,64,0.05456608507011609,296,0.4358108108108108,0.5202702702702703,-0.0834951339526745,64,0.0,0.856,0.6065493827431948,0.6068836809138523,-0.00033429817065744327,0.6212492757497994,-0.023270750322216153,0.08,0.5,0.5,"{""0.0"": 19, ""0.75"": 1, ""1.0"": 230}",True
logit_k64,250,64,0.04654507054967,296,0.4527027027027027,0.44256756756756754,-0.06601100281233449,64,0.0,0.864,0.6112564877585566,0.6068836809138523,0.004372806844704313,0.6212492757497994,0.3043944155909374,0.14,0.4,0.34285714285714286,"{""0.0"": 24, ""0.25"": 1, ""0.75"": 10, ""1.0"": 215}",True
hidden_pca8,250,64,0.03108627201523178,296,0.4527027027027027,0.44932432432432434,-0.0653529823227759,64,0.0,0.852,0.6077069457657244,0.6068836809138523,0.0008232648518721186,0.6212492757497994,0.05730809348820401,0.108,0.4444444444444444,0.48148148148148145,"{""0.0"": 25, ""0.75"": 2, ""1.0"": 223}",True
hidden_pca16,250,64,0.03171124936990903,296,0.4358108108108108,0.4831081081081081,-0.09297434096287541,64,0.0,0.844,0.6084120401336712,0.6068836809138523,0.0015283592198189755,0.6212492757497994,0.10639024957007362,0.14,0.42857142857142855,0.5142857142857142,"{""0.0"": 33, ""0.75"": 2, ""1.0"": 215}",True
hidden_pca32,250,64,0.03167230846163428,296,0.40878378378378377,0.5101351351351351,-0.12094895078741941,64,0.0,0.86,0.6078230716152914,0.6068836809138523,0.0009393907014391134,0.6212492757497994,0.0653917023392912,0.124,0.5161290322580645,0.4838709677419355,"{""0.0"": 31, ""1.0"": 219}",True
action_conditioned,250,64,0.030859845822689615,296,0.4527027027027027,0.5777027027027027,-0.05927064582292019,64,0.0,0.844,0.60398290867172,0.6068836809138523,-0.0029007722421322546,0.6212492757497994,-0.2019249655345724,0.112,0.32142857142857145,0.42857142857142855,"{""0.0"": 21, ""0.25"": 5, ""0.75"": 2, ""1.0"": 222}",True
combined,250,64,0.054770016288835134,296,0.44932432432432434,0.5067567567567568,-0.06565572503922462,64,0.0,0.852,0.6058177210382518,0.6068836809138523,-0.0010659598756004307,0.6212492757497994,-0.07420227897093909,0.084,0.42857142857142855,0.47619047619047616,"{""0.0"": 15, ""0.25"": 1, ""0.5"": 2, ""0.75"": 3, ""1.0"": 229}",True
