base_entropy,beta,between_sequence_beta_variance,near_beta_max,near_zero,position,prompt_id,prompt_sentiment_class,reward_range,seed,selected_token_reward
2.348846673965454,9.671875,0.6361992717208845,0,0,0,9126ab90d465282f2bf46642c81cc791,negative,0.049224853515625,1,0.061614990234375
2.4043025970458984,7.578125,0.6361992717208845,0,0,1,9126ab90d465282f2bf46642c81cc791,negative,0.063568115234375,1,0.07647705078125
2.870347738265991,11.625,0.6361992717208845,0,0,2,9126ab90d465282f2bf46642c81cc791,negative,0.0487060546875,1,0.0732421875
2.9637954235076904,13.7890625,0.6361992717208845,0,0,3,9126ab90d465282f2bf46642c81cc791,negative,0.071075439453125,1,0.1043701171875
2.7377052307128906,11.015625,0.6361992717208845,0,0,4,9126ab90d465282f2bf46642c81cc791,negative,0.07135009765625,1,0.107177734375
1.596185564994812,10.7265625,0.6361992717208845,0,0,5,9126ab90d465282f2bf46642c81cc791,negative,0.10888671875,1,0.08837890625
1.7684392929077148,14.09375,0.6361992717208845,0,0,6,9126ab90d465282f2bf46642c81cc791,negative,0.07086181640625,1,0.1187744140625
2.2896742820739746,8.125,0.6361992717208845,0,0,7,9126ab90d465282f2bf46642c81cc791,negative,0.09173583984375,1,0.1102294921875
2.4434099197387695,6.40625,0.6361992717208845,0,0,8,9126ab90d465282f2bf46642c81cc791,negative,0.073760986328125,1,0.11334228515625
2.62011981010437,6.484375,0.6361992717208845,0,0,9,9126ab90d465282f2bf46642c81cc791,negative,0.0789794921875,1,0.11956787109375
2.0834779739379883,12.5,0.6361992717208845,0,0,10,9126ab90d465282f2bf46642c81cc791,negative,0.0433349609375,1,0.08868408203125
2.125835418701172,7.05078125,0.6361992717208845,0,0,11,9126ab90d465282f2bf46642c81cc791,negative,0.106689453125,1,0.0989990234375
2.016679048538208,9.828125,0.6361992717208845,0,0,12,9126ab90d465282f2bf46642c81cc791,negative,0.06201171875,1,0.104736328125
2.186716079711914,6.3671875,0.6361992717208845,0,0,13,9126ab90d465282f2bf46642c81cc791,negative,0.04345703125,1,0.10308837890625
