coherence,latency,method,pareto_frontier_success_vs_coherence,pareto_frontier_success_vs_latency,pareto_frontier_success_vs_perplexity,pareto_frontier_success_vs_repetition,perplexity,repetition,sentiment_success
0.5535229744556606,0.030967649147091,base_lm,1,0,1,0,6.80876336991787,0.13605086752582213,0.39
0.5155344631782284,0.030704424147974967,best_fixed_beta,1,1,1,1,10.32533757865429,0.09494369557873128,0.74
0.521128920917958,0.030833639139158445,best_heuristic,0,0,0,0,8.778539449572563,0.11052589609644738,0.61
0.5535229744556606,0.03153582623984117,fixed_beta_0,1,0,1,0,6.80876336991787,0.13605086752582213,0.39
0.535924533250342,0.03020917203959211,fixed_beta_10,0,1,0,0,7.5870929127931594,0.12573267998510043,0.565
0.5272320103920364,0.03064045666411625,fixed_beta_15,1,1,1,0,8.170892301797867,0.10361876380902998,0.665
0.5155344631782284,0.030810524260905737,fixed_beta_30,1,0,1,1,10.32533757865429,0.09494369557873128,0.74
0.5434910112094424,0.029575354771086828,fixed_beta_5,1,1,1,0,7.071466500163078,0.12835341387531196,0.465
0.5348234306560875,0.03181077187011286,heuristic_constant_beta_10,0,0,0,0,7.58066030561924,0.12552924900828116,0.57
0.5419482436242062,0.031568232209864835,heuristic_entropy_beta,0,0,1,0,7.0976976084709165,0.13030721753651653,0.48
0.521128920917958,0.03137088028405633,heuristic_linear_decrease,0,0,0,0,8.778539449572563,0.11052589609644738,0.61
0.5409387695180113,0.03137364768390463,heuristic_linear_increase,1,0,0,1,7.872693231105805,0.09116350483814366,0.6
0.5431137195192148,0.031122926664305006,heuristic_reward_range_beta,1,0,1,0,7.334853152036667,0.1228241162210535,0.55
0.5334950898324315,0.03348601751845927,learned_router,1,0,1,0,7.541766005158425,0.1131854738099254,0.64
