position_bin,n,mean_oracle_mip,mean_fixed_w1_mip,mean_oracle_gain,fraction_oracle_not_w1,mean_utility_spread,fraction_all_same_next_token
00,50,0.6284162393031838,0.5663097507574842,0.06210648854569955,1.0,0.10043968972214065,0.3
01,50,0.582559335926785,0.5792962035368528,0.0032631323899321796,0.96,0.00469479059709426,0.82
02,50,0.6313575288908049,0.6285656822142183,0.0027918466765867135,1.0,0.004745076835639708,0.82
03,50,0.6385238265409577,0.6365368585896874,0.001986967951270291,1.0,0.007970807667055815,0.86
04,50,0.6253894480872652,0.6237099094710183,0.0016795386162467808,0.98,0.0025200812929016304,0.92
