ci95_high,ci95_low,cohen_dz,comparator,direction,holm_adjusted_pvalue,mean_effect,metric,paired_tasks,permutation_pvalue,prompt_clusters,significant_at_0_05,treatment
-0.10017550597418856,-0.11714934532876037,,parm_static,positive_favors_treatment,0.0023997600239976003,-0.10873980114619392,hypervolume,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
-0.05575990687313773,-0.0685419603978084,-0.35110564464722316,parm_static,positive_favors_treatment,0.0023997600239976003,-0.06205679900124827,mip,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
-0.04781252412224963,-0.0553320358039321,-0.3274497261623113,parm_static,positive_favors_treatment,0.0023997600239976003,-0.0516251217901405,pcs,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
-0.05586907737334628,-0.06850910202723111,-0.35110564464722316,parm_static,positive_favors_treatment,0.0023997600239976003,-0.06205679900124827,preference_regret,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.28420008749726733,0.2433179370787574,0.5215863487599672,parm_static,positive_favors_treatment,0.0023997600239976003,0.26436141978605615,perplexity,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.034232699604740804,0.02422120156549687,0.27349186481422494,parm_static,positive_favors_treatment,0.0023997600239976003,0.029245319585013328,coherence,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.013414166754572077,0.006053427510462062,,parm_taro,positive_favors_treatment,0.0023997600239976003,0.009642326438013937,hypervolume,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.0091138545903718,0.0036275662622706653,0.08481207116066727,parm_taro,positive_favors_treatment,0.0023997600239976003,0.006320710283253499,mip,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.005143415136326015,0.00143482726523924,0.04588854172177786,parm_taro,positive_favors_treatment,0.0026997300269973002,0.0033380941045165783,pcs,7500,0.00029997000299970003,1500,True,parm_v2_full_alpha
0.009064712011102743,0.0035844055673012864,0.08481207116066727,parm_taro,positive_favors_treatment,0.0023997600239976003,0.006320710283253499,preference_regret,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.005556336158438808,-0.013626974712511104,-0.022656476912481988,parm_taro,positive_favors_treatment,1.0,-0.0047045549135516125,perplexity,7500,0.35666433356664334,1500,False,parm_v2_full_alpha
-0.0029498020799231775,-0.006395562226155804,-0.1263860021747126,parm_taro,positive_favors_treatment,0.0023997600239976003,-0.004683917197960916,coherence,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.015198964612206323,0.007576937409423834,,parm_v2_no_alpha,positive_favors_treatment,0.0023997600239976003,0.010836405676026173,hypervolume,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.009979191221382803,0.004539512678441766,0.09379339869254924,parm_v2_no_alpha,positive_favors_treatment,0.0023997600239976003,0.007237011009177086,mip,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.0058982608203053035,0.002112215227228638,0.052469717475509284,parm_v2_no_alpha,positive_favors_treatment,0.0023997600239976003,0.00399160759636074,pcs,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.010077306000253387,0.004463477154642424,0.09379339869254924,parm_v2_no_alpha,positive_favors_treatment,0.0023997600239976003,0.007237011009177086,preference_regret,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.007024581361326656,-0.013355546044838679,-0.014247004514240953,parm_v2_no_alpha,positive_favors_treatment,1.0,-0.0030792535905902418,perplexity,7500,0.5601439856014399,1500,False,parm_v2_full_alpha
-0.0029930184043344965,-0.006443985060394862,-0.12259525627136257,parm_v2_no_alpha,positive_favors_treatment,0.0023997600239976003,-0.004604699085098548,coherence,7500,9.999000099990002e-05,1500,True,parm_v2_full_alpha
0.006809469253266753,0.0006400257058641334,,parm_v2_full_alpha_same_average,positive_favors_treatment,0.0580941905809419,0.0038321830765096765,hypervolume,7500,0.0082991700829917,1500,False,parm_v2_full_alpha
0.0035592698345980767,-0.0003683542817557615,0.028983368737840447,parm_v2_full_alpha_same_average,positive_favors_treatment,0.5614438556144385,0.0016520350667856682,mip,7500,0.11328867113288671,1500,False,parm_v2_full_alpha
0.0035916254039406806,0.0003940595865935734,0.03732509139634447,parm_v2_full_alpha_same_average,positive_favors_treatment,0.0791920807919208,0.001984448080549509,pcs,7500,0.0131986801319868,1500,False,parm_v2_full_alpha
0.00367730212371348,-0.00040475019969759277,0.028983368737840447,parm_v2_full_alpha_same_average,positive_favors_treatment,0.5614438556144385,0.0016520350667856682,preference_regret,7500,0.11228877112288771,1500,False,parm_v2_full_alpha
0.004790516085390441,-0.008351969709615744,-0.011949230629020055,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,-0.0018842648033495341,perplexity,7500,0.5837416258374163,1500,False,parm_v2_full_alpha
-0.0007718830864938403,-0.0025693416588147707,-0.06626142329196906,parm_v2_full_alpha_same_average,positive_favors_treatment,0.003999600039996,-0.001647852012953954,coherence,7500,0.0004999500049995,1500,True,parm_v2_full_alpha
