fusion,sample_id,alpha,lambda,mean_nll
normalized,pku_round0_00126,"1.00,0.00",0.5,1.7884434461593628
normalized,pku_round0_00126,"0.75,0.25",0.5,1.7938196659088135
normalized,pku_round0_00126,"0.50,0.50",0.25,1.7985178232192993
normalized,pku_round0_00126,"0.25,0.75",0.25,1.7989776134490967
normalized,pku_round0_00126,"0.00,1.00",0.25,1.801234483718872
normalized,pku_round0_00146,ALL,0.1,2.0223233222961428
normalized,pku_round0_00146,"1.00,0.00",2.0,1.9979051351547241
normalized,pku_round0_00146,"0.75,0.25",1.5,2.0036542415618896
normalized,pku_round0_00146,"0.50,0.50",0.1,2.023958921432495
normalized,pku_round0_00146,"0.25,0.75",0.001,1.93465256690979
normalized,pku_round0_00146,"0.00,1.00",0.0,1.8375884294509888
normalized,pku_round0_00198,ALL,0.25,1.7774527549743653
normalized,pku_round0_00198,"1.00,0.00",0.75,1.738531231880188
normalized,pku_round0_00198,"0.75,0.25",0.5,1.7490514516830444
normalized,pku_round0_00198,"0.50,0.50",0.5,1.7611360549926758
normalized,pku_round0_00198,"0.25,0.75",0.1,1.785404920578003
normalized,pku_round0_00198,"0.00,1.00",0.01,1.7945709228515625
normalized,pku_round0_00203,ALL,4.0,1.6137235164642334
normalized,pku_round0_00203,"1.00,0.00",4.0,1.592445969581604
normalized,pku_round0_00203,"0.75,0.25",8.0,1.5967010259628296
normalized,pku_round0_00203,"0.50,0.50",4.0,1.6055563688278198
normalized,pku_round0_00203,"0.25,0.75",4.0,1.6245819330215454
normalized,pku_round0_00203,"0.00,1.00",4.0,1.6492971181869507
normalized,pku_round0_00209,ALL,0.5,1.530557632446289
normalized,pku_round0_00209,"1.00,0.00",1.5,1.636414885520935
normalized,pku_round0_00209,"0.75,0.25",0.5,1.6136717796325684
normalized,pku_round0_00209,"0.50,0.50",0.25,1.5520715713500977
normalized,pku_round0_00209,"0.25,0.75",0.75,1.453575611114502
normalized,pku_round0_00209,"0.00,1.00",0.5,1.3804347515106201
normalized,pku_round0_00217,ALL,1.0,1.1034593343734742
normalized,pku_round0_00217,"1.00,0.00",2.0,1.0616954565048218
normalized,pku_round0_00217,"0.75,0.25",2.0,1.063938856124878
normalized,pku_round0_00217,"0.50,0.50",2.0,1.0714448690414429
normalized,pku_round0_00217,"0.25,0.75",1.0,1.1140865087509155
normalized,pku_round0_00217,"0.00,1.00",0.25,1.162168264389038
normalized,pku_round0_00233,ALL,1.0,1.247721219062805
normalized,pku_round0_00233,"1.00,0.00",1.5,1.2210118770599365
normalized,pku_round0_00233,"0.75,0.25",1.5,1.2251828908920288
normalized,pku_round0_00233,"0.50,0.50",1.5,1.2429234981536865
normalized,pku_round0_00233,"0.25,0.75",1.0,1.2618381977081299
normalized,pku_round0_00233,"0.00,1.00",0.75,1.2776148319244385
normalized,pku_round0_00250,ALL,0.0,1.2270382642745972
normalized,pku_round0_00250,"1.00,0.00",0.0,1.2270382642745972
normalized,pku_round0_00250,"0.75,0.25",0.0,1.2270382642745972
normalized,pku_round0_00250,"0.50,0.50",0.0,1.2270382642745972
normalized,pku_round0_00250,"0.25,0.75",0.0,1.2270382642745972
normalized,pku_round0_00250,"0.00,1.00",0.0,1.2270382642745972
