case_id,sample_id,alpha,fusion,lambda,nll,gradient,entropy,max_probability,logit_std
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.0,1.5965498685836792,-0.0778670608997345,1.3259984254837036,0.6929842829704285,2.39994478225708
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.001,1.5964751243591309,-0.07225184142589569,1.3232753276824951,0.693362295627594,2.401916742324829
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.01,1.5960394144058228,-0.025748230516910553,1.2994011640548706,0.697055459022522,2.419691801071167
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.05,1.5983301401138306,0.1299199014902115,1.2041302919387817,0.7119737267494202,2.499319076538086
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.1,1.608399510383606,0.26487988233566284,1.1032963991165161,0.7281668186187744,2.600209951400757
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.25,1.6678388118743896,0.49936676025390625,0.8809914588928223,0.7661996483802795,2.910738229751587
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.5,1.8187546730041504,0.6832420229911804,0.6574854850769043,0.8073509335517883,3.448127508163452
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.75,2.001835823059082,0.7719154953956604,0.5258545279502869,0.8322221040725708,4.001759052276611
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,1.0,2.2014997005462646,0.8210583329200745,0.4420033395290375,0.8497378826141357,4.565441131591797
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,1.5,2.6263163089752197,0.8715104460716248,0.3439222574234009,0.8739607930183411,5.7102952003479
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,2.0,3.069080114364624,0.897256076335907,0.28771257400512695,0.8899044990539551,6.868250846862793
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,4.0,4.914536476135254,0.938654899597168,0.17526096105575562,0.9292646050453186,11.549826622009277
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,8.0,8.708273887634277,0.9536001682281494,0.09639162570238113,0.9595256447792053,20.97581672668457
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,16.0,16.360002517700195,0.9579406976699829,0.05179443210363388,0.9758143424987793,39.86974334716797
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.0,1.5965498685836792,-0.34841856360435486,1.3259984254837036,0.6929842829704285,2.39994478225708
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.001,1.596203088760376,-0.34497323632240295,1.3258566856384277,0.6930028200149536,2.399517059326172
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.01,1.5932267904281616,-0.3173949718475342,1.3247122764587402,0.6935034394264221,2.3957345485687256
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.05,1.5823042392730713,-0.2370072901248932,1.32102370262146,0.6950494050979614,2.3803038597106934
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.1,1.5719988346099854,-0.18027158081531525,1.3178279399871826,0.6961251497268677,2.3638274669647217
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.25,1.5518358945846558,-0.10121580958366394,1.3151968717575073,0.6972190141677856,2.3285908699035645
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.5,1.533982753753662,-0.04970763623714447,1.3212480545043945,0.6966193914413452,2.2987515926361084
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.75,1.524672508239746,-0.027463242411613464,1.3304449319839478,0.6950676441192627,2.286719560623169
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,1.0,1.5193665027618408,-0.01614566147327423,1.3397313356399536,0.6937768459320068,2.2827205657958984
