fusion,lambda,mean_nll,mean_entropy,mean_max_probability,mean_logit_std
current,0.0,1.641580488284429,1.2258647392193476,0.6872698148091634,2.4285185893376666
current,0.001,1.6419996758302053,1.2237115403016408,0.6876302599906922,2.4303407867749534
current,0.01,1.646210785706838,1.204865151643753,0.6907699992259343,2.446774486700694
current,0.05,1.670731395483017,1.1312658369541169,0.7029909988244375,2.5205285867055256
current,0.1,1.708288739124934,1.0556080480416616,0.716017335653305,2.614268660545349
current,0.25,1.8445466180642447,0.8879974941412608,0.7479449739058812,2.9044255654017133
current,0.5,2.115706777572632,0.7088112756609917,0.786976640423139,3.410832440853119
current,0.75,2.4178578396638235,0.5919448897242546,0.8146210461854935,3.936621352036794
current,1.0,2.7388431171576184,0.5085877244671185,0.83567300538222,4.475037280718485
current,1.5,3.4143578747908276,0.3970940386255582,0.8663545529047648,5.574939235051473
current,2.0,4.115661730368932,0.3259569612642129,0.8868815888961156,6.692774971326192
current,4.0,7.027751545111339,0.18454909610251585,0.9308377792437871,11.234568436940512
current,8.0,12.995916565259298,0.09339014745006959,0.9633909145991008,20.40892769495646
current,16.0,25.022796138127646,0.04513981545654436,0.9817577719688415,38.8188294728597
normalized,0.0,1.641580488284429,1.2258647392193476,0.6872698148091634,2.4285185893376666
normalized,0.001,1.6415827651818593,1.2258137385050456,0.6872916042804718,2.427912747859955
normalized,0.01,1.6419424295425415,1.2255010505517323,0.6874278455972671,2.422549029191335
normalized,0.05,1.64729332725207,1.2271147300799687,0.6870841135581335,2.4005035360654197
normalized,0.1,1.6568175415198008,1.2328584730625152,0.685802040497462,2.376607815424601
normalized,0.25,1.6882904330889383,1.2559278060992558,0.6813289056221644,2.3235404809316
normalized,0.5,1.7373515645662942,1.2943181673685709,0.6744893372058869,2.2738883177439373
normalized,0.75,1.7788997888565063,1.3271511524915696,0.6687388320763906,2.249497926235199
normalized,1.0,1.8136033157507578,1.3548120001951853,0.6640903403361639,2.2375186403592426
normalized,1.5,1.8674513141314188,1.3988545735677083,0.6570770293474197,2.229975700378418
normalized,2.0,1.9069618960221608,1.4324049989382426,0.6517452299594879,2.230924991766612
normalized,4.0,1.9956680516401926,1.5120245079199472,0.6394243240356445,2.2469137072563172
normalized,8.0,2.0630455791950224,1.5760143280029297,0.6298743635416031,2.2676586349805197
normalized,16.0,2.106269959608714,1.6180870910485585,0.6236237804094951,2.283460561434428
normalized,guide_only,2.158511245250702,1.6692994991938273,0.6159065693616868,2.3042919516563414
