ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
0.455,0.325,0,0.39,base_lm,target_sentiment_success,200,negative,0.4877499359302879
0.45470007270254426,0.32349822432181097,0,0.38915936885896374,base_lm,independent_sentiment_score,200,negative,0.4747327903564366
0.455,0.325,0,0.39,base_lm,classifier_sentiment_success,200,negative,0.4877499359302879
0.45470007270254426,0.32349822432181097,0,0.38915936885896374,base_lm,classifier_target_probability,200,negative,0.4747327903564366
0.045,-0.005,0,0.02,base_lm,lexicon_sentiment_score,200,negative,0.17204650534085253
0.05,0.005,0,0.025,base_lm,lexicon_sentiment_success,200,negative,0.15612494995995996
7.3184953182935715,6.33289247572422,0,6.80876336991787,base_lm,base_lm_perplexity,200,negative,3.382520843305927
0.3532879279976094,0.33566120424564255,0,0.3443229315769617,base_lm,fluency,200,negative,0.058643734193472824
0.5679764745322208,0.5392935370789569,0,0.5535229744556606,base_lm,coherence,200,negative,0.10405443926375693
0.3153668958331613,0.27145349454176587,0,0.29286735194613583,base_lm,repeated_unigram_rate,200,negative,0.15970484307765376
0.16152500709579265,0.11547960154475763,0,0.13605086752582213,base_lm,repeated_bigram_rate,200,negative,0.15781198061926885
0.11075761007911977,0.06893641248039768,0,0.08714380576463421,base_lm,repeated_trigram_rate,200,negative,0.1397938473507199
0.7179665984322832,0.6714636416220859,0,0.697132648053864,base_lm,distinct_1,200,negative,0.1718961601186463
0.8760856845859095,0.8268157874038861,0,0.853949132474178,base_lm,distinct_2,200,negative,0.17911896570843647
0.9235871849302293,0.8782933928582974,0,0.9028561942353656,base_lm,distinct_3,200,negative,0.16643149834638782
31.79,30.775,0,31.325,base_lm,generation_length,200,negative,3.676870272391997
0.0,0.0,0,0.0,base_lm,eos_rate,200,negative,0.0
0.032169988694486944,0.02989020979315604,0,0.030967649147091,base_lm,latency_per_token,200,negative,0.007786486050677613
1.0063396405498497,0.932575938263326,0,0.9684969789680327,base_lm,total_latency,200,negative,0.2674358880281151
0.8,0.68,0,0.74,best_fixed_beta,target_sentiment_success,200,negative,0.4386342439892262
0.7991999950981699,0.6833476075599901,0,0.740205751429894,best_fixed_beta,independent_sentiment_score,200,negative,0.4222041322263283
0.8,0.68,0,0.74,best_fixed_beta,classifier_sentiment_success,200,negative,0.4386342439892262
0.7991999950981699,0.6833476075599901,0,0.740205751429894,best_fixed_beta,classifier_target_probability,200,negative,0.4222041322263283
0.215,0.115,0,0.165,best_fixed_beta,lexicon_sentiment_score,200,negative,0.3711805490593493
0.215,0.115,0,0.165,best_fixed_beta,lexicon_sentiment_success,200,negative,0.3711805490593493
11.287689154148103,9.49618704020977,0,10.32533757865429,best_fixed_beta,base_lm_perplexity,200,negative,6.237856599732942
0.3218993928990242,0.3036957546551997,0,0.3124043613494798,best_fixed_beta,fluency,200,negative,0.06196763840465608
0.5300905099436711,0.4989166977020102,0,0.5155344631782284,best_fixed_beta,coherence,200,negative,0.11126634695833247
0.2504849650800929,0.2074567332443383,0,0.227461666111367,best_fixed_beta,repeated_unigram_rate,200,negative,0.15486661568861684
0.11750005459962333,0.07638232394822221,0,0.09494369557873128,best_fixed_beta,repeated_bigram_rate,200,negative,0.1407821562469156
0.0772628876357137,0.04069835549951741,0,0.05703871047950879,best_fixed_beta,repeated_trigram_rate,200,negative,0.12909500643930752
0.7729619433204838,0.7194121276485632,0,0.7475383338886324,best_fixed_beta,distinct_1,200,negative,0.19231636786627754
0.8985069862805075,0.8389043955162236,0,0.8700563044212686,best_fixed_beta,distinct_2,200,negative,0.21667615657247516
0.9329842403972838,0.8707035653557392,0,0.9029612895204916,best_fixed_beta,distinct_3,200,negative,0.22472744347142862
31.115,29.64,0,30.42,best_fixed_beta,generation_length,200,negative,5.3201127807594455
0.0,0.0,0,0.0,best_fixed_beta,eos_rate,200,negative,0.0
0.031837084239357445,0.029638177651941794,0,0.030704424147974967,best_fixed_beta,latency_per_token,200,negative,0.007973671216221657
0.969610263988725,0.8919675854814705,0,0.929873491571052,best_fixed_beta,total_latency,200,negative,0.2886317255979754
0.675,0.545,0,0.61,best_heuristic,target_sentiment_success,200,negative,0.4877499359302879
0.6811755257705226,0.5522948846238432,0,0.6162757850671187,best_heuristic,independent_sentiment_score,200,negative,0.4689704976115856
0.675,0.545,0,0.61,best_heuristic,classifier_sentiment_success,200,negative,0.4877499359302879
0.6811755257705226,0.5522948846238432,0,0.6162757850671187,best_heuristic,classifier_target_probability,200,negative,0.4689704976115856
0.21,0.1,0,0.155,best_heuristic,lexicon_sentiment_score,200,negative,0.37546637665708493
0.215,0.11,0,0.16,best_heuristic,lexicon_sentiment_success,200,negative,0.3666060555964672
9.661699268817902,7.9787201499938964,0,8.778539449572563,best_heuristic,base_lm_perplexity,200,negative,5.899915175178133
0.3352031497271495,0.3172418917256147,0,0.3259278174608186,best_heuristic,fluency,200,negative,0.06148507574303626
0.5364972090257377,0.5036962197962047,0,0.521128920917958,best_heuristic,coherence,200,negative,0.11855325375711982
0.2709756110224356,0.21983423390877965,0,0.24391701139170888,best_heuristic,repeated_unigram_rate,200,negative,0.1688703061428695
