case_id,sample_id,alpha,fusion,lambda,nll,gradient,entropy,max_probability,logit_std
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.0,1.5965590476989746,-0.07774217426776886,1.3259670734405518,0.6929892897605896,2.399925470352173
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.001,1.596483826637268,-0.07212737947702408,1.3232438564300537,0.6933673620223999,2.401897430419922
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.01,1.5960495471954346,-0.025626499205827713,1.2993687391281128,0.6970604062080383,2.419672727584839
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.1,1.6084197759628296,0.2649898827075958,1.103258490562439,0.7281715869903564,2.600191354751587
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.25,1.6678763628005981,0.4994869530200958,0.8809503316879272,0.7662044763565063,2.91072154045105
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,0.5,1.8188223838806152,0.683359682559967,0.6574564576148987,0.8073542714118958,3.4481139183044434
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,1.0,2.2016212940216064,0.8211596012115479,0.4419991374015808,0.8497343063354492,4.565434455871582
f60_a0_p00,pku_round0_00058,"1.00,0.00",current,2.0,3.0692999362945557,0.897352397441864,0.28771618008613586,0.8899000883102417,6.868259429931641
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.0,1.5965590476989746,-0.3483339548110962,1.3259670734405518,0.6929892897605896,2.399925470352173
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.001,1.5962122678756714,-0.3448893129825592,1.3258253335952759,0.6930078268051147,2.3994975090026855
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.01,1.5932365655899048,-0.31731563806533813,1.324681282043457,0.6935082674026489,2.3957152366638184
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.1,1.5720140933990479,-0.18021735548973083,1.3178014755249023,0.6961296200752258,2.3638105392456055
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.25,1.55185866355896,-0.1011710911989212,1.3151718378067017,0.6972240805625916,2.3285772800445557
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,0.5,1.5340152978897095,-0.04967343807220459,1.3212209939956665,0.6966254711151123,2.2987427711486816
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,1.0,1.5194122791290283,-0.016125060617923737,1.339700698852539,0.6937825083732605,2.282717227935791
f60_a0_p00,pku_round0_00058,"1.00,0.00",normalized,2.0,1.5123660564422607,-0.002223644405603409,1.3690375089645386,0.6894057989120483,2.2894198894500732
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.0,1.7024312019348145,0.26448550820350647,1.103088140487671,0.6806625127792358,2.4534428119659424
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.001,1.7026984691619873,0.26975446939468384,1.1012355089187622,0.680959165096283,2.4554080963134766
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.01,1.7053146362304688,0.3094789683818817,1.085189938545227,0.6835317015647888,2.4731247425079346
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.1,1.7422853708267212,0.4807221591472626,0.9616654515266418,0.7048185467720032,2.653109073638916
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.25,1.8254860639572144,0.6166450381278992,0.8229561448097229,0.7330613732337952,2.962902784347534
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,0.5,1.9979313611984253,0.7503383755683899,0.6687306761741638,0.770751416683197,3.4995086193084717
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,1.0,2.408759832382202,0.8716235756874084,0.49064022302627563,0.8190256953239441,4.617407321929932
f60_a0_p01,pku_round0_00094,"1.00,0.00",current,2.0,3.324460983276367,0.9441586136817932,0.3320387005805969,0.8668156266212463,6.928966999053955
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.0,1.7024312019348145,-0.33485767245292664,1.103088140487671,0.6806625127792358,2.4534428119659424
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.001,1.7020984888076782,-0.33086493611335754,1.1029959917068481,0.6806561946868896,2.4529547691345215
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.01,1.6992597579956055,-0.30178534984588623,1.1024707555770874,0.6805387139320374,2.448638439178467
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.1,1.6778782606124878,-0.19693955779075623,1.109743356704712,0.6776382923126221,2.411917209625244
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.25,1.6542448997497559,-0.12577182054519653,1.130873680114746,0.6727102994918823,2.3703222274780273
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,0.5,1.6311657428741455,-0.06655080616474152,1.163334608078003,0.6665962338447571,2.333005428314209
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,1.0,1.6111210584640503,-0.022601231932640076,1.212651252746582,0.6572864651679993,2.308703660964966
f60_a0_p01,pku_round0_00094,"1.00,0.00",normalized,2.0,1.601316213607788,-0.0028536543250083923,1.2764689922332764,0.6454079747200012,2.3096556663513184
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.0,1.8027260303497314,1.084818959236145,1.5344369411468506,0.6483253240585327,2.33577561378479
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.001,1.803818702697754,1.1006278991699219,1.5317015647888184,0.648732602596283,2.337594747543335
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.01,1.8142892122268677,1.2197511196136475,1.506888747215271,0.6523063778877258,2.353996515274048
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.1,1.9486432075500488,1.660895824432373,1.288188099861145,0.6872879862785339,2.5205321311950684
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.25,2.2204015254974365,1.9307427406311035,1.0457483530044556,0.7317232489585876,2.8067400455474854
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,0.5,2.734243869781494,2.1530861854553223,0.8019248247146606,0.7841122150421143,3.301260232925415
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,1.0,3.86649751663208,2.345454216003418,0.5404261350631714,0.84767085313797,4.329068660736084
f60_a0_p02,pku_round0_00115,"1.00,0.00",current,2.0,6.290341854095459,2.4774229526519775,0.3125699460506439,0.9046194553375244,6.452629566192627
f60_a0_p02,pku_round0_00115,"1.00,0.00",normalized,0.0,1.8027260303497314,0.8165301084518433,1.5344369411468506,0.6483253240585327,2.33577561378479
f60_a0_p02,pku_round0_00115,"1.00,0.00",normalized,0.001,1.8035483360290527,0.8281172513961792,1.5346101522445679,0.6483320593833923,2.3352596759796143
f60_a0_p02,pku_round0_00115,"1.00,0.00",normalized,0.01,1.811385989189148,0.9065301418304443,1.5353354215621948,0.6483699679374695,2.3306894302368164
f60_a0_p02,pku_round0_00115,"1.00,0.00",normalized,0.1,1.8990845680236816,0.9565324783325195,1.5254172086715698,0.6522113084793091,2.2913928031921387
f60_a0_p02,pku_round0_00115,"1.00,0.00",normalized,0.25,2.030022144317627,0.7912354469299316,1.5168650150299072,0.656000554561615,2.245392084121704
