count,fraction_near_max,fraction_near_zero,max,mean,method,min,p05,p50,p95,position,std
19200,0.64296875,0.00390625,0.9900854825973511,0.8975112952375397,taro,0.018493445590138435,0.4529288411140442,0.9635840058326721,0.9816486835479736,all,0.17404623966460203
19200,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,0.9026586413383484,0.9026586413383484,0.9026586413383484,all,0.0
18999,0.0,1.0,0.0,0.0,v1_base,0.0,0.0,0.0,0.0,all,0.0
18636,1.0,0.0,1.0,1.0,v1_fixed,1.0,1.0,1.0,1.0,all,0.0
18721,0.06409914000320496,0.0616420063030821,1.0,0.5036510723391039,v1_heuristic,0.0,0.03225911458333333,0.5161458333333333,0.9677083333333333,all,0.29828191933960757
18863,0.0,0.00037109685627948895,0.5677083333333334,0.32561540401237205,v1_router,0.03811848958333333,0.14427083333333332,0.33359375,0.4830729166666667,all,0.10279250252929178
19200,0.0,1.0,0.0,0.0,v2_base,0.0,0.0,0.0,0.0,all,0.0
19200,1.0,0.0,1.0,1.0,v2_fixed,1.0,1.0,1.0,1.0,all,0.0
19200,0.0,0.6824479166666667,0.9380840063095093,0.04959544178350749,v2_heuristic,1.556278022007973e-07,0.00013110025611240417,0.025792839005589485,0.17986725270748138,all,0.06801339170594414
19200,0.8295833333333333,0.0,0.9978541731834412,0.9684985275993434,v2_history,0.24482129514217377,0.9117202758789062,0.9839184284210205,0.9919446110725403,all,0.04598234189886379
19200,1.0,0.0,0.9674169421195984,0.9674169421195984,v2_same_average,0.9674169421195984,0.9674169421195984,0.9674169421195984,0.9674169421195984,all,0.0
19200,0.8286458333333333,0.0,0.9973879456520081,0.9683430658948298,v2_state,0.24746543169021606,0.9037967920303345,0.9851393103599548,0.9920458793640137,all,0.048465785778661466
600,0.77,0.0,0.986997127532959,0.9335774290561676,taro,0.09748460352420807,,,,0,0.11722497348553985
600,0.7416666666666667,0.0,0.9850969910621643,0.929461135584861,taro,0.05028637871146202,,,,1,0.12830803899815835
600,0.7233333333333334,0.0016666666666666668,0.9867236018180847,0.9313735386480888,taro,0.04945226013660431,,,,2,0.1146401606006542
600,0.7016666666666667,0.0,0.9862513542175293,0.931086247432977,taro,0.0544196180999279,,,,3,0.11034362231742514
600,0.6716666666666666,0.005,0.9855595827102661,0.9137913274951279,taro,0.023463111370801926,,,,4,0.14969693129642803
600,0.6983333333333334,0.0033333333333333335,0.9859602451324463,0.917903227439771,taro,0.031072545796632767,,,,5,0.1401134607101959
600,0.6566666666666666,0.005,0.9855344295501709,0.9171981623054792,taro,0.027483107522130013,,,,6,0.14355839782511412
600,0.675,0.005,0.9870566129684448,0.9132663687256475,taro,0.036316148936748505,,,,7,0.1590414749749615
600,0.6866666666666666,0.0,0.9864339828491211,0.9211267625292142,taro,0.08433441072702408,,,,8,0.1357960644204408
600,0.695,0.0016666666666666668,0.9851422905921936,0.9224543066260715,taro,0.03305197134613991,,,,9,0.1298417962033698
600,0.67,0.005,0.9862827658653259,0.913950118686383,taro,0.018961025401949883,,,,10,0.14983554003885802
600,0.6366666666666667,0.0033333333333333335,0.9861815571784973,0.9041636969521641,taro,0.03214030712842941,,,,11,0.16289492313191067
600,0.6716666666666666,0.0,0.9859469532966614,0.9137383266538381,taro,0.06906792521476746,,,,12,0.14535600079661687
600,0.6566666666666666,0.006666666666666667,0.9861000180244446,0.9064841299317777,taro,0.025123663246631622,,,,13,0.16198737283485967
600,0.6433333333333333,0.0016666666666666668,0.9851173162460327,0.9042585549751917,taro,0.03416494280099869,,,,14,0.1599655400600403
600,0.6216666666666667,0.0033333333333333335,0.9852132201194763,0.8924706601972381,taro,0.02318773791193962,,,,15,0.1807653938368506
600,0.625,0.0016666666666666668,0.9868574142456055,0.9008359047832588,taro,0.039415936917066574,,,,16,0.1643894754442692
600,0.6416666666666667,0.005,0.9870209097862244,0.8986639423606296,taro,0.019638072699308395,,,,17,0.17692291960105788
600,0.6283333333333333,0.0,0.9900854825973511,0.8936809738477071,taro,0.07151896506547928,,,,18,0.18008101271673133
600,0.6133333333333333,0.0016666666666666668,0.984492301940918,0.892254501413554,taro,0.048037588596343994,,,,19,0.1714685282748561
600,0.6283333333333333,0.008333333333333333,0.9853954315185547,0.8795803705106179,taro,0.02793237194418907,,,,20,0.20137832630767763
600,0.6066666666666667,0.005,0.9848647117614746,0.8868661975177626,taro,0.031172193586826324,,,,21,0.18468380640694554
600,0.6166666666666667,0.0016666666666666668,0.9864748120307922,0.878309334864219,taro,0.038281358778476715,,,,22,0.19624657428612274
600,0.595,0.005,0.9852677583694458,0.8742753645746658,taro,0.018493445590138435,,,,23,0.2055008267184309
600,0.5866666666666667,0.008333333333333333,0.985413670539856,0.8764326668096085,taro,0.02958829700946808,,,,24,0.19997110273294136
600,0.63,0.008333333333333333,0.9862555265426636,0.87662319399106,taro,0.026806464418768883,,,,25,0.20259092736998677
600,0.5933333333333334,0.005,0.986091673374176,0.8772076229875286,taro,0.03362971916794777,,,,26,0.19719760934275796
600,0.5866666666666667,0.0033333333333333335,0.9862004518508911,0.8760931713785977,taro,0.027133958414196968,,,,27,0.19639816351493924
600,0.585,0.008333333333333333,0.9863457083702087,0.862276140206183,taro,0.025980345904827118,,,,28,0.21656465124008897
600,0.5883333333333334,0.006666666666666667,0.9847993850708008,0.864058472837011,taro,0.03547877445816994,,,,29,0.20961950394033876
600,0.5616666666666666,0.008333333333333333,0.9861012101173401,0.8603116467688232,taro,0.02292591519653797,,,,30,0.21669938269975536
600,0.5683333333333334,0.006666666666666667,0.9855604767799377,0.8565879495100429,taro,0.025693846866488457,,,,31,0.2184512010202697
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,0,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,1,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,2,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,3,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,4,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,5,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,6,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,7,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,8,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,9,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,10,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,11,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,12,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,13,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,14,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,15,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,16,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,17,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,18,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,19,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,20,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,21,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,22,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,23,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,24,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,25,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,26,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,27,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,28,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,29,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,30,0.0
600,0.0,0.0,0.9026586413383484,0.9026586413383484,taro_same_average,0.9026586413383484,,,,31,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,0,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,1,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,2,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,3,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,4,0.0
600,0.0,1.0,0.0,0.0,v1_base,0.0,,,,5,0.0
598,0.0,1.0,0.0,0.0,v1_base,0.0,,,,6,0.0
598,0.0,1.0,0.0,0.0,v1_base,0.0,,,,7,0.0
596,0.0,1.0,0.0,0.0,v1_base,0.0,,,,8,0.0
596,0.0,1.0,0.0,0.0,v1_base,0.0,,,,9,0.0
596,0.0,1.0,0.0,0.0,v1_base,0.0,,,,10,0.0
596,0.0,1.0,0.0,0.0,v1_base,0.0,,,,11,0.0
595,0.0,1.0,0.0,0.0,v1_base,0.0,,,,12,0.0
595,0.0,1.0,0.0,0.0,v1_base,0.0,,,,13,0.0
594,0.0,1.0,0.0,0.0,v1_base,0.0,,,,14,0.0
594,0.0,1.0,0.0,0.0,v1_base,0.0,,,,15,0.0
594,0.0,1.0,0.0,0.0,v1_base,0.0,,,,16,0.0
593,0.0,1.0,0.0,0.0,v1_base,0.0,,,,17,0.0
593,0.0,1.0,0.0,0.0,v1_base,0.0,,,,18,0.0
592,0.0,1.0,0.0,0.0,v1_base,0.0,,,,19,0.0
592,0.0,1.0,0.0,0.0,v1_base,0.0,,,,20,0.0
592,0.0,1.0,0.0,0.0,v1_base,0.0,,,,21,0.0
592,0.0,1.0,0.0,0.0,v1_base,0.0,,,,22,0.0
591,0.0,1.0,0.0,0.0,v1_base,0.0,,,,23,0.0
590,0.0,1.0,0.0,0.0,v1_base,0.0,,,,24,0.0
590,0.0,1.0,0.0,0.0,v1_base,0.0,,,,25,0.0
588,0.0,1.0,0.0,0.0,v1_base,0.0,,,,26,0.0
588,0.0,1.0,0.0,0.0,v1_base,0.0,,,,27,0.0
588,0.0,1.0,0.0,0.0,v1_base,0.0,,,,28,0.0
586,0.0,1.0,0.0,0.0,v1_base,0.0,,,,29,0.0
586,0.0,1.0,0.0,0.0,v1_base,0.0,,,,30,0.0
586,0.0,1.0,0.0,0.0,v1_base,0.0,,,,31,0.0
600,1.0,0.0,1.0,1.0,v1_fixed,1.0,,,,0,0.0
600,1.0,0.0,1.0,1.0,v1_fixed,1.0,,,,1,0.0
598,1.0,0.0,1.0,1.0,v1_fixed,1.0,,,,2,0.0
598,1.0,0.0,1.0,1.0,v1_fixed,1.0,,,,3,0.0
